Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
alpha_5MeV_7043.root,4.911510697614586,88.56982392660426,638,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,e9383fe,80aac8f
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
217,193.61988871766866,341.83714221446746,4.907323194246664,6, 6, 0, 0, 13, 9, 1, 1, 19, 11, 2, 1
218,170.65138618581082,335.8563719022464,4.913546890474711,1, 1, 0, 0, 16, 10, 0, 3, 17, 9, 1, 3
219,183.05568528460466,331.93318492164366,4.908120791653532,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
220,32.31679372116256,50.437387214372606,4.926042259908325,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
222,37.09204195965377,97.96086885817036,4.914136985280685,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
223,2.1170054520074473,2.1185186260974014,4.9122357082511385,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
225,186.33771936126308,385.5159390018787,4.909581499306325,1, 1, 0, 0, 5, 5, 0, 0, 6, 6, 0, 0
226,86.3359434117121,139.88885879604177,4.903846253784835,3, 3, 0, 0, 6, 4, 1, 0, 9, 6, 1, 0
228,7.502342342433793,32.40598685690736,4.91711016709618,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
233,192.19702243821052,349.8977090675316,4.9242148011458,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
236,94.5914693845903,182.92155637588996,4.9015665919023235,1, 1, 0, 0, 3, 3, 0, 0, 4, 4, 0, 0
237,78.36203082651932,160.06269051752207,4.913259075527835,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
238,133.76686193258604,247.37659598221026,4.912053893988487,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
239,15.531022375207865,40.818106404300316,4.919124979011055,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
240,51.18699733044219,124.38240626735592,4.928029310211219,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
242,5.1884168085796745,16.132421453606785,4.930096170366401,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
243,197.21668658350504,321.3258451574422,4.919192302247371,0, 0, 0, 0, 9, 7, 1, 0, 9, 7, 1, 0
245,53.751392816290334,108.00978443413356,4.915092152684476,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
246,81.43779968683485,207.21613433051826,4.934794726087363,1, 1, 0, 0, 3, 3, 0, 0, 4, 4, 0, 0
247,164.82690629065937,300.72420081285975,4.903145982067064,2, 2, 0, 0, 5, 5, 0, 0, 7, 7, 0, 0
250,115.75771050185911,301.56963769009536,4.925926575150948,2, 2, 0, 0, 8, 8, 0, 0, 10, 10, 0, 0
251,14.683034217517704,28.076537213977442,4.915605808234889,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
253,167.82888628691853,288.10811333796147,4.897957460460413,5, 1, 1, 1, 9, 7, 0, 1, 14, 7, 0, 3
255,52.2364724531558,121.44507953512357,4.9026402871835995,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
256,96.1188980339917,191.18753640492056,4.915468240874099,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
257,88.52862572199183,169.05857452508582,4.8965444892670185,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
258,36.38404472124548,77.54699518714571,4.911160514306571,1, 1, 0, 0, 10, 7, 0, 1, 11, 7, 0, 1
260,153.74571343057417,321.9157665266893,4.90721663154062,2, 2, 0, 0, 15, 15, 0, 0, 17, 17, 0, 0
262,109.98707425227629,225.56641842972076,4.913138624077412,4, 2, 0, 1, 8, 6, 1, 0, 12, 4, 0, 3
265,196.01179499845603,351.7256986043515,4.890139783754517,2, 2, 0, 0, 16, 12, 1, 1, 18, 12, 2, 1
268,158.57939567395002,316.7434566008861,4.914267502067699,5, 3, 0, 1, 10, 8, 1, 0, 15, 8, 0, 3
270,196.64343180480756,426.9181544383518,4.910432709997815,1, 1, 0, 0, 10, 5, 0, 2, 11, 6, 0, 2
271,45.617097025635644,126.98360266761712,4.90767024836339,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
274,173.24234016707197,305.3229297048562,4.905034744017272,2, 2, 0, 0, 8, 8, 0, 0, 10, 8, 0, 1
276,159.9219504561766,330.00319675138104,4.9163310206116675,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
277,128.32151516095766,306.5166552172596,4.905259983455483,2, 2, 0, 0, 4, 4, 0, 0, 6, 4, 1, 0
465,19.289651304190254,42.617705476276846,4.908987131347283,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
466,76.71461317748877,141.1934411760547,4.902906229274015,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
467,115.41828663367932,222.80634908246938,4.920075728141134,3, 3, 0, 0, 9, 6, 0, 1, 12, 7, 0, 2
468,185.1051590843101,390.68654391108555,4.908149311096354,1, 1, 0, 0, 10, 10, 0, 0, 11, 11, 0, 0
470,180.7115559101405,373.9836135424559,4.923229189822321,3, 3, 0, 0, 14, 10, 1, 1, 17, 11, 2, 1
471,134.82491589280804,255.8235781903757,4.92592824718466,1, 1, 0, 0, 7, 7, 0, 0, 8, 8, 0, 0
474,182.71014290442628,371.8007453114026,4.905188295226381,2, 2, 0, 0, 10, 8, 1, 0, 12, 9, 1, 0
475,95.89541807930085,234.7590426023326,4.904862004076433,1, 1, 0, 0, 4, 4, 0, 0, 5, 5, 0, 0
477,14.626543868828557,32.6887007632902,4.890381269422732,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
478,182.21063613840042,307.159427808021,4.910813489886034,4, 4, 0, 0, 8, 6, 1, 0, 12, 9, 1, 0
479,80.46160823761049,171.33951094970996,4.9153214615516765,1, 1, 0, 0, 4, 4, 0, 0, 5, 5, 0, 0
480,16.474019749183913,18.434062422418396,4.890153089847935,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
483,24.321871366220158,46.87354037126998,4.911078515947989,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
484,91.02068413461282,226.0916702744443,4.921250950835895,2, 2, 0, 0, 12, 10, 0, 1, 14, 8, 0, 3
485,157.45896003280072,335.10284005395397,4.894695017653168,1, 1, 0, 0, 7, 7, 0, 0, 8, 8, 0, 0
487,194.18077603989752,391.32355645713614,4.913247131012034,2, 2, 0, 0, 6, 4, 1, 0, 8, 6, 1, 0
489,115.19854227903765,246.47112041343505,4.914651459251276,5, 1, 1, 1, 6, 4, 0, 1, 11, 1, 2, 1
491,252.52231305842128,472.0558908938522,4.916426269219359,5, 3, 1, 0, 14, 14, 0, 0, 19, 14, 0, 2
492,175.00214228363325,307.8643167349517,4.895635528040675,0, 0, 0, 0, 8, 6, 0, 1, 8, 6, 0, 1
493,171.84574710544138,353.69334496006735,4.919026119298425,1, 1, 0, 0, 5, 3, 0, 1, 6, 4, 0, 1
