Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
alpha_5MeV_7314.root,4.912336850709736,88.54636850984096,619,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,M,80aac8f
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
0,37.64420477223981,61.57079486467496,4.896122333534359,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
2,56.25039518803639,120.90470210445062,4.909576191024476,1, 1, 0, 0, 6, 3, 0, 1, 7, 2, 0, 2
3,69.01857496174327,151.48795761650652,4.901449801515083,1, 1, 0, 0, 4, 4, 0, 0, 5, 3, 0, 1
4,146.11452723787428,311.5055274822145,4.9138780985133605,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
5,175.71451536592505,386.0517096719636,4.899378537742501,3, 3, 0, 0, 14, 14, 0, 0, 17, 15, 0, 1
6,58.727488064195526,82.89764712802474,4.901086952001024,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7,50.90995036856922,121.88676482760441,4.910502598625117,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9,125.79884769114209,283.36891153487477,4.9183099528875145,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
10,146.7204676676703,300.92982885332617,4.9143000734095,3, 1, 0, 1, 6, 6, 0, 0, 9, 6, 0, 1
11,2.0467555377251587,6.649659630748791,4.923322087635895,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13,39.93145534093156,82.97944315043526,4.908217523239433,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
14,91.47929362799015,185.6309662103097,4.895308465571377,0, 0, 0, 0, 15, 10, 1, 1, 15, 10, 1, 1
15,105.1319494380376,165.67363736585162,4.914754868929945,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
16,156.6094343980764,313.87396246279224,4.917873681172002,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
17,101.09032725149225,192.01496711283252,4.894278777792503,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
