Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash
alpha_5MeV_8919.root,4.9118439061858625,88.55946658758673,630,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,c4896d6
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
186,48.78742285597624,98.84677969567076,4.926332329934832,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
187,32.243439626716295,81.0728982272626,4.924123490355642,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
188,163.79202496596747,301.670005249303,4.911373484115187,4, 4, 0, 0, 5, 1, 2, 0, 9, 5, 2, 0
189,170.5306532358001,315.28209355431915,4.902584946087252,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
190,92.42550061361732,194.54858353813063,4.9131013427256045,2, 2, 0, 0, 9, 7, 1, 0, 11, 9, 1, 0
193,138.72878652312167,276.5769099858462,4.913018598234734,3, 0, 0, 1, 3, 3, 0, 0, 6, 3, 0, 1
199,14.198483178860208,4.344474903180896,4.899777277944491,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
202,29.176612527298566,58.757035316334786,4.902188224434521,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
203,50.7403935281898,95.23870194312298,4.9100607084153225,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
204,175.8228448090368,313.05775203877806,4.919938959225642,2, 2, 0, 0, 20, 18, 1, 0, 22, 18, 1, 1
205,178.62908677079656,326.85275198163475,4.935072954943459,1, 1, 0, 0, 17, 13, 2, 0, 18, 14, 2, 0
208,47.2102720096047,86.7058081910787,4.926823841383257,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
209,149.56259529493295,353.9643644353836,4.922568196403816,2, 2, 0, 0, 8, 8, 0, 0, 10, 10, 0, 0
210,30.67972190856273,92.97996674075154,4.931761659201863,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
211,130.47007436120103,235.46139401581493,4.9142331827598245,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
212,20.735111225755222,74.04142716570459,4.8956943167057485,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
214,122.42450726324174,229.88737432174676,4.905880428363671,5, 3, 0, 1, 8, 8, 0, 0, 13, 11, 0, 1
216,156.432340069707,353.5007617669628,4.922423746837905,1, 1, 0, 0, 10, 10, 0, 0, 11, 9, 1, 0
403,60.86190430940147,109.33646821703081,4.90390184399655,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
404,115.45353869749341,204.1275235127017,4.895678462540289,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
405,191.54290531255435,360.1271127915516,4.915829107263297,7, 3, 1, 1, 8, 8, 0, 0, 15, 8, 0, 2
407,136.27669748043567,281.6248651571662,4.92296885521705,3, 1, 1, 0, 2, 2, 0, 0, 5, 1, 2, 0
408,130.36091104811243,311.31783215846525,4.908824086408471,3, 1, 0, 1, 8, 8, 0, 0, 11, 8, 0, 1
409,167.2290964715143,327.68038716325185,4.924338812569217,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
410,50.90296521462212,86.71519099704766,4.924657990043702,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
411,7.214813833273123,0.48866981103530654,4.914076206889245,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
412,10.482583916755214,22.218998813147664,4.924260767890246,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
414,115.55610829045973,278.82670707210883,4.921727405876782,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
416,81.99031888717745,132.89728181933936,4.894833265158734,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420,127.67746679020908,250.79219984672898,4.9275437267508195,1, 1, 0, 0, 8, 8, 0, 0, 9, 7, 1, 0
423,2.460257376888912,10.272074085105745,4.915122205521653,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
427,149.59952557550434,296.87935723229765,4.895284949503392,3, 3, 0, 0, 15, 15, 0, 0, 18, 16, 1, 0
428,176.61799123185764,316.7873538407613,4.919940564401403,3, 3, 0, 0, 9, 7, 1, 0, 12, 8, 2, 0
429,151.21205304406521,320.530291768171,4.91407708101228,5, 5, 0, 0, 17, 11, 2, 1, 22, 12, 4, 1
432,23.210704545330664,66.06064251450402,4.892952758653292,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
558,23.79845674516005,47.153069486839726,4.916362671835419,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
559,102.06574090714382,173.52980014537164,4.910657633041987,2, 2, 0, 0, 10, 7, 1, 0, 12, 9, 1, 0
560,179.21890635202146,355.5757158052568,4.910930153242568,1, 1, 0, 0, 12, 10, 1, 0, 13, 11, 1, 0
561,107.22763014874145,302.9590654845202,4.9186284423024595,2, 2, 0, 0, 9, 9, 0, 0, 11, 7, 2, 0
562,86.61788575133585,198.4310581225692,4.906660322479834,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
564,41.17608193832728,43.100580208353655,4.9157072194210985,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
565,123.73264367711381,226.30289704372944,4.9108798197083825,1, 1, 0, 0, 3, 3, 0, 0, 4, 4, 0, 0
566,129.37797598017252,264.28864485429335,4.9111067574792955,0, 0, 0, 0, 4, 1, 1, 0, 4, 1, 1, 0
568,141.5342685632691,300.26319341909357,4.906158462077876,2, 0, 1, 0, 2, 2, 0, 0, 4, 1, 0, 1
571,34.61909344337518,82.43701889646954,4.890949643279173,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
573,158.4591173811639,361.14994651528644,4.9139002403442955,1, 1, 0, 0, 3, 3, 0, 0, 4, 4, 0, 0
574,187.94242277752457,327.41129658082144,4.911474377876884,3, 1, 0, 1, 7, 3, 0, 2, 10, 4, 0, 3
578,163.6755442735222,312.7622425271183,4.908851067562856,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
579,43.57573271667163,48.21326987273431,4.897250801337457,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
580,131.10634441882434,286.69138666790354,4.918613419394065,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
582,35.02687607008685,39.48747709854123,4.924782726096281,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
583,178.4441007974251,324.63332564646515,4.9135875714705115,2, 2, 0, 0, 10, 10, 0, 0, 12, 10, 1, 0
584,18.992575477225166,51.20670133689964,4.8945025884326165,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
587,78.73016141992387,131.70816226503095,4.906072027444197,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
588,183.25782552706718,337.2296385531997,4.896262606056272,2, 2, 0, 0, 18, 14, 1, 1, 20, 16, 1, 1
744,49.84995503918602,110.15576587964325,4.925207004019216,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
746,100.43277299873911,163.8147556326753,4.90976980634993,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
747,90.83483878326494,145.88484799593493,4.931575927058374,2, 2, 0, 0, 8, 6, 0, 1, 10, 8, 0, 1
750,106.5649132496423,244.38121428844903,4.909524183028287,2, 2, 0, 0, 4, 4, 0, 0, 6, 4, 0, 1
751,121.30025045063162,221.37542432988548,4.9108208302237975,0, 0, 0, 0, 9, 7, 0, 1, 9, 7, 0, 1
753,80.25185984441944,178.54896084650696,4.902265211275639,2, 2, 0, 0, 5, 5, 0, 0, 7, 5, 0, 1
754,203.92128585008425,404.42909042494136,4.9114693718448805,5, 5, 0, 0, 15, 12, 0, 1, 20, 14, 1, 1
755,7.169386552684169,8.547639373013574,4.8973734782250755,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
756,64.70829612530156,157.75703527958441,4.93473587451772,2, 2, 0, 0, 4, 4, 0, 0, 6, 6, 0, 0
759,179.58115321858378,379.29367476940297,4.901038787266469,5, 3, 1, 0, 12, 8, 1, 1, 17, 10, 2, 1
763,155.61224619751553,261.3096089051538,4.895612930471912,3, 1, 1, 0, 8, 3, 2, 0, 11, 4, 3, 0
764,125.7756165569296,255.03568760147297,4.909941502877553,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
765,27.142494642410377,62.69055079720964,4.913772950874113,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
767,178.32899859045065,301.0053824122698,4.900108264123,5, 5, 0, 0, 22, 18, 1, 1, 27, 18, 2, 2
768,73.14024106738185,161.7230696007698,4.908319977117357,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
769,158.56925116756517,288.6397877817951,4.887480361064828,3, 1, 0, 1, 5, 3, 0, 1, 8, 4, 0, 1
770,21.42440728595233,33.59427306522914,4.902990306780294,0, 0, 0, 0, 2, 0, 1, 0, 2, 0, 1, 0
771,47.43803633684324,101.20768076813734,4.924069521835889,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
772,93.29903386781909,165.30577319708786,4.9280072614524215,2, 2, 0, 0, 7, 7, 0, 0, 9, 9, 0, 0
774,126.30514788241777,286.64530933310624,4.918994857321695,1, 1, 0, 0, 3, 3, 0, 0, 4, 4, 0, 0
993,38.76459517409603,91.5552468916541,4.904161317621895,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
994,122.71140597687203,312.55726656976424,4.915612508423218,2, 0, 1, 0, 2, 2, 0, 0, 4, 2, 1, 0
996,71.65290819694118,148.09144496510834,4.927046331492495,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
998,194.6776034054393,339.13939024839874,4.9244268266645665,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
999,103.45636413276375,210.54792215824318,4.907422559873249,0, 0, 0, 0, 3, 1, 0, 1, 3, 1, 0, 1
217,143.6383118530842,301.91316697684624,4.915347401700661,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
218,75.25967748982306,168.49445602681485,4.904145054821587,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
219,14.073727171833383,25.988440085667275,4.889607984819099,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
221,140.17711072869116,303.2545466383543,4.902567782994993,1, 1, 0, 0, 8, 6, 0, 1, 9, 5, 0, 2
222,106.25335350533024,198.58028738035284,4.91900351697322,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
223,54.796175743004056,139.26032768709854,4.930878043842066,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
224,103.87422127417398,238.75414309408833,4.906135512983653,2, 0, 0, 1, 7, 5, 0, 1, 9, 5, 0, 2
225,2.108469128818814,6.885745735903062,4.916558061006178,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
228,120.46664550260125,238.29990739687187,4.911567384684174,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
229,116.95574857916193,233.63228360706987,4.904194557926643,2, 0, 1, 0, 10, 8, 0, 1, 12, 7, 0, 2
230,23.677037548908547,57.03508158455397,4.919312067956321,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
231,71.68793524509994,127.59344793301973,4.909269351628387,1, 1, 0, 0, 5, 5, 0, 0, 6, 6, 0, 0
232,175.43492001755055,315.682037725023,4.913754736899861,5, 5, 0, 0, 13, 11, 0, 1, 18, 12, 2, 1
236,82.75339324785004,191.29304898008556,4.913208507464513,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
237,4.258322241937118,4.932604989082843,4.899513318211033,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
238,137.9513758437811,241.70734495326164,4.899477209987792,0, 0, 0, 0, 7, 4, 0, 1, 7, 4, 0, 1
240,52.76122055779472,87.8868396908029,4.917057540446973,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
243,58.282556571576116,117.32801646618915,4.910334141761499,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
244,164.132495537106,312.7293107200997,4.91479815906648,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
245,83.80137144133803,165.84969118403754,4.916040219287302,2, 2, 0, 0, 13, 9, 1, 1, 15, 9, 2, 1
246,188.929747983776,331.7423201518079,4.907339883381349,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
247,96.81883529202345,247.30652422888295,4.9166260565275755,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
248,213.83635295042242,400.05386072088515,4.918528920935623,2, 2, 0, 0, 8, 8, 0, 0, 10, 7, 0, 1
249,158.12182108441903,319.54500863396447,4.906053321554534,2, 2, 0, 0, 14, 8, 0, 3, 16, 10, 0, 3
251,142.63335497296268,289.15876220469903,4.920825275222144,3, 1, 1, 0, 8, 8, 0, 0, 11, 9, 1, 0
253,19.600444104186487,39.57981203074139,4.917577727351091,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
254,149.01566401976302,318.48904612155815,4.919690531368705,6, 4, 0, 1, 16, 14, 1, 0, 22, 14, 2, 1
255,103.64378155813071,203.26058307439914,4.9200118793961085,2, 2, 0, 0, 5, 5, 0, 0, 7, 7, 0, 0
256,10.628507431390059,40.40999719168254,4.890742010093534,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
258,52.74405319042367,121.88569108242307,4.909678545261882,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
263,11.939149150095473,33.38565405513669,4.90771939627925,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
264,9.194490582674657,18.32105179305696,4.92873254040985,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
265,111.32522849598104,297.50597906442056,4.9132479331692736,1, 1, 0, 0, 5, 5, 0, 0, 6, 6, 0, 0
266,58.86860108610274,90.49611605791466,4.910288187105991,2, 2, 0, 0, 7, 5, 0, 1, 9, 4, 1, 1
267,58.01065060960436,83.3555533005856,4.923349435033045,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
268,125.40731420772528,297.1374132185602,4.919487317713942,2, 2, 0, 0, 8, 6, 1, 0, 10, 6, 2, 0
269,163.96186113370888,346.8465034349887,4.9158760508097945,10, 10, 0, 0, 22, 12, 2, 2, 32, 12, 3, 5
270,24.633953106965347,58.22490039848029,4.915255215547424,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
271,176.33162931935883,302.35744282762715,4.914371550583122,3, 3, 0, 0, 5, 5, 0, 0, 8, 8, 0, 0
273,57.786913408773515,132.76553144318964,4.924342262736754,0, 0, 0, 0, 4, 2, 1, 0, 4, 2, 1, 0
274,165.6414168543736,318.8187544834709,4.905213361939124,1, 1, 0, 0, 12, 10, 0, 1, 13, 9, 0, 2
276,38.85007378657265,56.573903661776384,4.904132627843995,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
277,56.27042593784565,103.29805080643935,4.893369804277664,2, 2, 0, 0, 3, 3, 0, 0, 5, 5, 0, 0
278,31.261795004757712,78.10761153597684,4.902051477457998,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
435,187.38371355774095,400.2178957730173,4.92047771852701,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
436,178.80292716388604,316.6066150067524,4.908448373388655,1, 1, 0, 0, 17, 13, 1, 0, 18, 14, 1, 0
438,53.11935208891219,118.19326686747073,4.92355927234188,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
439,105.55723435993717,210.62686023186504,4.905795094829623,1, 1, 0, 0, 4, 2, 1, 0, 5, 3, 1, 0
440,93.49172238448119,182.58226167968,4.902285108546147,1, 1, 0, 0, 4, 4, 0, 0, 5, 5, 0, 0
442,109.57650596189104,236.738058943414,4.914300721735803,3, 1, 0, 1, 3, 3, 0, 0, 6, 4, 0, 1
443,99.27245527117884,198.30154028040798,4.917390097700478,0, 0, 0, 0, 13, 9, 1, 1, 13, 9, 1, 1
444,150.94309980557128,312.6455060863101,4.919155716975242,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
445,39.57781828603007,58.33367996279432,4.902578996591873,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
446,160.44228024504167,337.6173835312672,4.923473948228867,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
447,116.67991241759579,225.60555681554894,4.909382969426662,1, 1, 0, 0, 4, 4, 0, 0, 5, 5, 0, 0
448,52.48640082477871,108.1200126871126,4.891514216129506,2, 2, 0, 0, 6, 6, 0, 0, 8, 8, 0, 0
452,92.40589584996775,170.89828854433384,4.90657719115904,2, 2, 0, 0, 9, 9, 0, 0, 11, 7, 0, 2
453,47.11018210587065,87.99486438750836,4.919588169833399,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
454,89.06103440218955,217.8332921397137,4.905517962456179,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
456,142.36981576973537,328.78620718997917,4.905030322152665,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
459,138.198949063931,263.20439267555753,4.916710458742741,2, 2, 0, 0, 7, 5, 1, 0, 9, 7, 1, 0
462,143.45658313779762,298.69229665636703,4.909650140415126,0, 0, 0, 0, 6, 1, 1, 1, 6, 1, 1, 1
464,40.068273309045125,80.90346170577101,4.908130220848804,5, 2, 0, 1, 6, 6, 0, 0, 11, 5, 1, 1
714,165.45763933031625,382.2462307929755,4.9163782915764465,1, 1, 0, 0, 4, 2, 1, 0, 5, 3, 1, 0
715,134.69133669560836,298.0692100305125,4.925552008497484,2, 2, 0, 0, 5, 5, 0, 0, 7, 7, 0, 0
720,130.91804277481899,176.68484161385322,4.90374056061885,5, 3, 0, 1, 4, 4, 0, 0, 9, 6, 0, 1
722,107.80228063499868,175.54065974540322,4.918435926360599,3, 1, 0, 1, 6, 6, 0, 0, 9, 5, 0, 2
723,49.69278287179788,90.45929560010804,4.918533670108561,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
724,3.914006564238511,19.408713376731892,4.905386227987609,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
725,65.9834781851409,128.4828468539289,4.914149273795747,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
726,91.91995526795502,152.45743575735077,4.902167961847545,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
728,29.238732193759546,70.62079581667254,4.919524868922522,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
730,63.26630542393708,131.06154926380407,4.917144010362851,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
731,20.120473157837655,55.699226127206636,4.9326277062890345,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
732,236.45021118569358,473.54218459678407,4.912422110423918,4, 4, 0, 0, 14, 9, 1, 1, 18, 11, 2, 1
733,78.04049008778807,164.55355427687562,4.911743758654357,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
735,27.418707757357804,81.42998140601166,4.9251888130953,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
737,80.34502007281911,148.56391340584668,4.921080444236372,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
