Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
alpha_8MeV_6504.root,7.938090526730293,62.74146675307552,645,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,ce42311,80aac8f
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
188,53.39437553339091,158.62108441753782,7.9437088629898795,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
189,95.31354295568855,268.0710022417089,7.943915534866644,1, 1, 0, 0, 4, 4, 0, 0, 5, 5, 0, 0
190,66.41331524292463,185.7750806401661,7.937841101402057,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
191,85.46118741053388,295.0336424709749,7.955928873360588,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
193,138.69891895685674,354.95477784406825,7.932937968674639,2, 2, 0, 0, 6, 6, 0, 0, 8, 8, 0, 0
196,24.609529124055726,84.15154793524138,7.932692539282303,2, 2, 0, 0, 3, 1, 1, 0, 5, 2, 1, 0
197,51.984460375382405,160.25146755825017,7.9344763965923235,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
199,105.65800841330757,318.0827199582024,7.932587355630009,2, 2, 0, 0, 11, 11, 0, 0, 13, 9, 2, 0
200,84.67623362078604,262.78896129924465,7.945487031798903,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
201,11.152752524089749,34.80910734254156,7.931876683129865,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
202,119.49717718711122,301.8767399935166,7.94513975566783,2, 2, 0, 0, 9, 9, 0, 0, 11, 11, 0, 0
206,36.35776672579043,129.20711367358777,7.943522031253557,0, 0, 0, 0, 5, 3, 1, 0, 5, 3, 1, 0
