Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
/user/work/lg9783/RBE/RBE/simulation/build/results/2ndDec_testCommit/alpha_8MeV_6838.root,7.938131319679532,62.74036392038866,632,2.700000000000001e-20,296352.0,/user/work/lg9783/RBE/RBE/geometryFiles/sugarPos_4x4_300nm.csv,e9383fe,2faf8c0
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
155,120.47301971859683,367.6425156951657,7.937986453513836,0, 0, 0, 0, 7, 5, 0, 1, 7, 5, 0, 1
156,120.99235158793674,328.5862044955594,7.940670972448352,5, 5, 0, 0, 15, 15, 0, 0, 20, 11, 3, 1
157,104.17491487541638,316.63912764259936,7.9385090401698735,1, 1, 0, 0, 8, 6, 0, 1, 9, 5, 1, 1
159,94.08197737089677,246.4124151009416,7.9456738599775205,2, 2, 0, 0, 11, 11, 0, 0, 13, 9, 1, 1
161,88.66826842098357,317.6864737340115,7.9266645907965,2, 2, 0, 0, 2, 2, 0, 0, 4, 4, 0, 0
166,46.683959156098325,96.74655633586858,7.941796547685279,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
170,15.502264512277911,30.932726203061677,7.93339604492088,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
171,132.93561517813296,394.4746665998158,7.944467043917167,1, 1, 0, 0, 11, 9, 1, 0, 12, 10, 1, 0
175,79.52138469758611,282.784096135939,7.92864158739922,0, 0, 0, 0, 3, 1, 0, 1, 3, 1, 0, 1
176,52.90816817932616,183.32191767830946,7.935565543323035,2, 2, 0, 0, 1, 1, 0, 0, 3, 1, 0, 1
177,31.102219752871306,98.14237124435145,7.944028084460838,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
179,45.55748180957211,175.65063322184923,7.947834697145645,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
181,5.002832686480333,6.5796017044136805,7.927411154412294,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
182,66.14450469467543,207.88204494884158,7.9271628916145085,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
183,8.722086420920284,26.6974969559722,7.941042305831294,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
184,6.600230311017928,31.833120781926745,7.934962073166412,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
434,16.922870948462347,62.83477514907266,7.949736991987063,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
436,2.9684713775809226,10.440857952619744,7.925158373500201,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
437,116.62251794726863,363.5605168936571,7.936768164881723,2, 2, 0, 0, 8, 8, 0, 0, 10, 8, 1, 0
438,91.03758553980124,305.76197098855715,7.926615199040788,0, 0, 0, 0, 4, 2, 1, 0, 4, 2, 1, 0
439,56.36451250946372,122.17631850338945,7.93873794662399,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
440,32.76915179833257,72.68508610533004,7.934795820442808,1, 1, 0, 0, 4, 4, 0, 0, 5, 5, 0, 0
441,79.15702057934246,291.5735542544219,7.941615572345911,2, 2, 0, 0, 10, 10, 0, 0, 12, 10, 0, 1
443,116.44014805580707,303.42857191071556,7.9536096084853,2, 2, 0, 0, 13, 11, 1, 0, 15, 13, 1, 0
445,82.53803851557194,257.8694937086636,7.9436779536775255,2, 2, 0, 0, 10, 8, 1, 0, 12, 10, 1, 0
446,64.6473060649953,229.8502713440367,7.951837043519724,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
447,47.53712533714011,142.71984787281212,7.926515128018141,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
448,86.33441151639917,307.45066514560466,7.943688006920478,3, 3, 0, 0, 14, 8, 0, 3, 17, 10, 0, 3
449,11.12369696147704,47.76724126789333,7.956652548373316,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
450,191.76296456407573,450.34870935828934,7.9302160543802875,1, 1, 0, 0, 8, 6, 0, 1, 9, 5, 1, 1
451,78.2548694091692,236.57301273989557,7.931332997203665,2, 2, 0, 0, 4, 4, 0, 0, 6, 4, 1, 0
452,5.37319620236576,7.419239260286734,7.927381624008422,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
453,75.8581710729657,306.9603771277042,7.919813085871775,1, 1, 0, 0, 7, 7, 0, 0, 8, 8, 0, 0
454,32.00411016564437,70.94153730886345,7.9444245329838665,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
457,68.0303954144067,166.45339063413894,7.944544684888834,0, 0, 0, 0, 6, 4, 0, 1, 6, 4, 0, 1
458,98.51056866626713,337.6190946669091,7.941779144892163,5, 3, 1, 0, 3, 3, 0, 0, 8, 4, 2, 0
459,110.92056920336876,358.61856065201584,7.939799526013592,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
460,47.82133236488693,123.05920534438897,7.964720427030912,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
462,34.26770766509474,102.76857066976179,7.961656806618094,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
464,79.06047532030986,360.5858693361733,7.956189017512628,2, 2, 0, 0, 10, 10, 0, 0, 12, 12, 0, 0
837,134.9729362506423,333.21590605517525,7.947261135906397,0, 0, 0, 0, 6, 4, 1, 0, 6, 4, 1, 0
838,14.253570994198116,47.15874255329322,7.935025558149922,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
841,5.549878760779703,9.601893093827691,7.919439115131165,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
842,109.09702112243471,298.2176856155525,7.93489836519416,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
843,36.884037425140036,96.50816865330104,7.9408342467985165,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
846,122.28226561955798,375.60280526152604,7.936258682220149,0, 0, 0, 0, 5, 3, 0, 1, 5, 3, 0, 1
849,6.56343828372014,2.115698092645866,7.940617133692691,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
850,89.37748454196853,311.34008884981336,7.943654783085855,2, 2, 0, 0, 4, 4, 0, 0, 6, 6, 0, 0
852,19.274010396598545,64.5625142732912,7.937564893938571,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
853,37.6350378082307,139.05999042024,7.941805313244237,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
854,91.63869669926835,301.88028988886657,7.940230546718908,2, 0, 1, 0, 6, 4, 0, 1, 8, 4, 1, 1
856,60.03485056195861,209.4148044156832,7.9418330123906316,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
857,109.66971438809855,310.78082351562006,7.945918872793639,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
858,57.04889004571204,178.43689469564802,7.94782794610115,1, 1, 0, 0, 2, 0, 1, 0, 3, 0, 1, 0
860,4.2740217036669375,18.708514521258984,7.930960199144732,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
861,10.088474991568063,0.9985959982972116,7.936004031724261,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
864,33.75913623969635,89.03437178224355,7.9413778109138695,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
865,70.78608709627639,181.46506571547036,7.9366761553363725,1, 1, 0, 0, 5, 5, 0, 0, 6, 6, 0, 0
866,40.72258484362133,163.74001085936555,7.943596402124929,1, 1, 0, 0, 3, 1, 1, 0, 4, 2, 1, 0
992,67.15805993579598,153.56179803640822,7.936666791855364,1, 1, 0, 0, 5, 5, 0, 0, 6, 6, 0, 0
994,64.65718354920517,218.35910929041754,7.9258171376772975,1, 1, 0, 0, 9, 7, 1, 0, 10, 6, 1, 1
997,151.95696982587165,307.20318811032615,7.934000477563863,3, 3, 0, 0, 10, 8, 1, 0, 13, 11, 1, 0
999,89.72362971706626,227.89641950704933,7.9380929569872185,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31,44.18549536044266,108.00615598125708,7.960770199662554,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32,56.463992327422254,165.13265327786414,7.933876871014419,0, 0, 0, 0, 9, 5, 1, 1, 9, 5, 1, 1
33,48.612239368413256,172.75857131124152,7.931498480568429,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
34,119.27974941167159,333.3785937235032,7.932329774109228,4, 4, 0, 0, 9, 7, 1, 0, 13, 7, 1, 2
35,54.00581218515769,140.18462945643057,7.939245280666536,4, 4, 0, 0, 3, 1, 0, 1, 7, 3, 0, 2
37,104.0125069750169,302.05616550946434,7.917851073061794,0, 0, 0, 0, 11, 9, 0, 1, 11, 9, 0, 1
38,96.475118485962,311.4980841161962,7.938353146058599,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40,135.4499482075054,327.41903004582576,7.942652506171301,1, 1, 0, 0, 7, 7, 0, 0, 8, 8, 0, 0
41,18.554667411036366,57.80791174618962,7.942119387207291,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
42,105.8814899668145,312.05299484089755,7.9375938692460215,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
44,33.99606773854384,123.10908214458351,7.942745624297196,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
45,42.052171999641864,132.11947979596533,7.929675628112072,2, 2, 0, 0, 7, 5, 0, 1, 9, 5, 0, 2
48,118.16811045734472,330.8027960249702,7.9301884442772375,2, 2, 0, 0, 8, 8, 0, 0, 10, 8, 0, 1
49,92.38200771730801,337.6832565837644,7.927349593331517,2, 2, 0, 0, 9, 9, 0, 0, 11, 9, 0, 1
55,63.47241842355363,182.7568278856956,7.937473655682711,2, 2, 0, 0, 8, 6, 0, 1, 10, 6, 0, 2
56,8.545444197940377,27.966426418585762,7.951769121639726,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
57,131.42864961404396,418.2404664484905,7.93719001979122,1, 1, 0, 0, 6, 6, 0, 0, 7, 7, 0, 0
59,2.110208932872108,16.023753950334445,7.960296667557312,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
344,80.35879990526035,302.085028543333,7.941086499752858,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
345,43.25405130480996,153.9714644078392,7.928974688193456,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
347,94.12881387436636,231.11433924886106,7.951058963370065,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
348,17.25819395002529,54.62080363491294,7.956691498539092,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
349,107.6860033267674,293.6709191320497,7.940672676578046,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
350,69.69481068735286,216.95280214482113,7.93155869311242,2, 0, 0, 1, 4, 2, 1, 0, 6, 2, 0, 1
351,71.49613300642648,205.21356371803526,7.94047148054138,3, 1, 0, 1, 5, 3, 1, 0, 8, 4, 1, 1
355,49.526113618021064,154.3224513859745,7.9418583641021,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
356,94.88752446723122,308.1692638182378,7.946278232583019,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
358,23.2133092353253,134.53346082403013,7.933943908010517,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
359,26.347381893352818,97.4679333705185,7.946348817077732,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
360,122.30776755330456,309.32080182942826,7.948793965636855,4, 2, 1, 0, 7, 7, 0, 0, 11, 9, 1, 0
361,31.263404083059758,84.00210590797678,7.96479997499222,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
363,111.77348585730648,335.4829681525712,7.934144505424738,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
364,124.97057137290737,331.3163021560275,7.941928531485205,3, 3, 0, 0, 4, 1, 0, 1, 7, 1, 0, 2
365,85.55628380748199,304.4212503988026,7.953338689253366,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
366,103.39282061391151,317.09908844373666,7.944584002784704,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
368,96.54393422133583,238.33721558218974,7.936010352940721,3, 1, 1, 0, 4, 4, 0, 0, 7, 5, 1, 0
651,79.2017968413592,248.27063259248968,7.946962197531942,1, 1, 0, 0, 3, 3, 0, 0, 4, 2, 0, 1
653,23.458296499730544,79.96314407161265,7.932341327471098,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
654,88.00425953573239,282.9733195993865,7.928616400916434,3, 1, 0, 1, 5, 3, 0, 1, 8, 3, 0, 2
655,33.024282896751984,106.5585644870419,7.952471687482833,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
656,27.137075363751737,104.15314822019761,7.927189380640199,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
657,5.702022404926231,3.549343340200503,7.944662309106272,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
658,59.56028217665334,219.93958802883895,7.937112899497247,1, 1, 0, 0, 3, 3, 0, 0, 4, 4, 0, 0
659,43.27453971090507,136.3063306729575,7.942571964759996,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
662,10.35171684049706,30.778769156898328,7.9444095461151285,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
663,72.6565761371529,191.96350560667153,7.959721780598447,1, 1, 0, 0, 5, 3, 1, 0, 6, 4, 1, 0
665,78.17221927562305,242.3579375344115,7.944107748515732,1, 1, 0, 0, 3, 3, 0, 0, 4, 2, 1, 0
667,34.646347906133805,143.97069008506412,7.929679535597305,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
