Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
/user/work/lg9783/RBE/RBE/simulation/build/results/2ndDec_testCommit/alpha_8MeV_9100.root,7.937630307502784,62.74845632479658,646,2.700000000000001e-20,296352.0,/user/work/lg9783/RBE/RBE/geometryFiles/sugarPos_4x4_300nm.csv,b4fe4a5,2faf8c0
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
124,109.96953427412615,306.44946228649115,7.950163108643844,2, 0, 0, 1, 3, 3, 0, 0, 5, 3, 0, 1
125,115.09807304499908,339.1235392391553,7.935608111889914,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
126,99.75946658110361,327.7284062283357,7.948244353388288,1, 1, 0, 0, 9, 5, 0, 2, 10, 5, 0, 2
128,101.12532308718156,376.7811577168357,7.935448452368734,1, 1, 0, 0, 5, 5, 0, 0, 6, 4, 1, 0
129,0.9390985882373967,1.565784308805768,7.948954451333245,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
131,20.864335950681347,49.04008209236354,7.929883033985967,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
133,152.75708154203292,305.32128305170033,7.934450617170625,1, 1, 0, 0, 9, 9, 0, 0, 10, 8, 1, 0
137,107.8944983609272,302.55670280408964,7.941122687871449,2, 2, 0, 0, 12, 12, 0, 0, 14, 14, 0, 0
139,0.10060272241450711,0.40619967018122877,7.9403107452812485,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
141,122.49463557904761,376.50165276381233,7.946775525139296,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
142,107.20251252292663,330.24925187494716,7.929589862291076,2, 2, 0, 0, 6, 6, 0, 0, 8, 8, 0, 0
144,104.28789692979618,346.48204028922777,7.922629289307103,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
145,133.17909512894522,328.3071674594605,7.94856235451472,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
146,14.299468869183986,37.83706532555866,7.946824266933456,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
147,94.45227644325688,227.38575831162706,7.949015079213237,1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
148,62.05567096071116,255.02641817793824,7.9522210687494885,0, 0, 0, 0, 5, 3, 0, 1, 5, 3, 0, 1
149,49.282344940416245,162.99675022764478,7.948924442920465,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
152,14.896087541788077,54.44380970828379,7.923028533468399,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
153,31.309250337791674,90.98539487933724,7.929766435933119,2, 2, 0, 0, 3, 3, 0, 0, 5, 5, 0, 0
154,87.8459708974308,254.59173164043563,7.932876944964057,2, 2, 0, 0, 8, 8, 0, 0, 10, 10, 0, 0
404,14.209802147715424,54.82333465448729,7.943621553394562,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
406,61.054737019372695,192.00369764433503,7.936534207820795,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
407,130.6771310252305,372.7893664580576,7.9445434941631765,2, 2, 0, 0, 5, 5, 0, 0, 7, 7, 0, 0
409,64.73219483696451,256.5418613343292,7.948463584715016,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
410,105.775714867465,326.24949357189394,7.945287420521981,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
413,23.091099486597276,87.21511192587566,7.938888356427064,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
414,48.71130385875884,147.3414256067739,7.937164468605332,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
415,10.042112489108046,42.229896170054985,7.929344287235805,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418,5.367214494811441,20.459670367698784,7.945557932219291,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419,39.589086105418275,136.15666672399388,7.934980778258522,1, 1, 0, 0, 3, 3, 0, 0, 4, 4, 0, 0
420,117.33127092873546,318.9872742985456,7.941693439762588,1, 1, 0, 0, 4, 4, 0, 0, 5, 5, 0, 0
421,108.92020124378347,333.24092199350383,7.947769996739641,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
422,47.328635942386825,165.0316723085015,7.937528148853836,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
427,45.67739643254984,94.95597726228367,7.925240904569838,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
430,49.25763651970257,151.14714343818056,7.939853868869777,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
433,118.10449982193606,300.80027775735164,7.930345731999804,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
497,50.779227060260254,121.93018140137532,7.9311309030126536,2, 2, 0, 0, 10, 6, 2, 0, 12, 6, 2, 1
498,98.82911437815271,255.5930685383139,7.929243874748128,2, 2, 0, 0, 12, 8, 1, 1, 14, 6, 3, 1
499,4.616981667130725,17.879578676297537,7.949541603370569,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500,74.53686768647083,134.58099853432176,7.92377299655546,0, 0, 0, 0, 6, 4, 0, 1, 6, 4, 0, 1
502,99.58656050798417,300.36093154095437,7.919137021239231,1, 1, 0, 0, 5, 5, 0, 0, 6, 6, 0, 0
503,28.277605902830725,81.38457762443367,7.9387176611019115,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
504,81.26714736900175,280.3292375137974,7.937250679390004,4, 4, 0, 0, 3, 3, 0, 0, 7, 7, 0, 0
506,69.1635999711453,183.49278734075145,7.938183524150798,1, 1, 0, 0, 5, 3, 1, 0, 6, 2, 2, 0
507,102.08902424737849,334.4726752425884,7.943270987687123,1, 1, 0, 0, 3, 3, 0, 0, 4, 2, 0, 1
508,1.0385188395002112,3.8479415676856425,7.932362240246787,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
509,82.66027570392798,241.8532642098883,7.941000876897634,2, 0, 0, 1, 5, 5, 0, 0, 7, 4, 0, 1
510,105.80350702949157,319.34203520908363,7.929235999464886,0, 0, 0, 0, 6, 4, 0, 1, 6, 4, 0, 1
511,89.64969371378281,295.3196440086133,7.9513711585759665,3, 3, 0, 0, 7, 7, 0, 0, 10, 8, 1, 0
512,76.84087799935666,185.45626590855767,7.935435937508605,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
513,103.97008456341116,400.13439814611195,7.940750965312925,3, 0, 1, 0, 3, 3, 0, 0, 6, 3, 1, 0
515,114.23093802412016,312.68567556443156,7.932591010845356,3, 3, 0, 0, 5, 5, 0, 0, 8, 4, 1, 1
516,107.7281634463745,369.17268236799873,7.929819526335843,0, 0, 0, 0, 9, 9, 0, 0, 9, 9, 0, 0
518,84.6510147603432,267.69236822605285,7.941577989776922,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
524,116.46361860260468,312.89636878758387,7.918629407100421,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
